제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
욕망의바다, 1997년 3월 5일 ~ 1997년 9월 11일, 56부작, 드라마, KBS 2TV,, 정하연," 유동근, 박지영 (1969년), 배종옥",1997-03-05 00:00:00
순금의땅, 2014년 1월 6일 ~ 2014년 8월 22일, 163부작, 텔레비전 드라마 · 소설, 한국방송공사 KBS 제2TV, KBS 드라마 제작국, 이선희," 강예솔, 강은탁, 백승희, 이병훈 (배우) 外",2014-01-06 00:00:00
레테의연가, 1991년 2월 6일 ~ 1991년 2월 28일, 8부작, 드라마, 한국방송공사,, 최현경," 김청, 한진희, 선우재덕, 태현실 외",1991-02-06 00:00:00
월계수양복점신사들, 2016년 8월 27일 ~ 2017년 2월 26일, 54부작," 가족, 로맨스, 코미디", KBS 2TV, 김희열 팬엔터테인먼트, 구현숙," 이동건, 조윤희 (배우), 신구 (배우), 차인표, 최원영 (배우), 현우 외",2016-08-27 00:00:00
상도, 2001년 10월 15일 ~ 2002년 4월 2일, 50부작, 텔레비전 드라마 퓨전사극, MBC, ," 최완규 (작가), 정형수 "," 이재룡, 김현주 (1977년), 정보석, 이순재 외",2001-10-15 00:00:00
선택, 2004년 8월 2일 ~ 2005년 1월 22일, 146부작, 드라마, SBS,, 정지우 (작가)," 심혜진, 김상중, 이종원",2004-08-02 00:00:00
우리가남인가요, 2001년 2월 5일 ~ 2001년 10월 26일, 192부작, 드라마, KBS 1TV,, 최현경," 배종옥, 김호진 (배우) 외",2001-02-05 00:00:00
칼잡이오수정, 2007년 7월 28일 ~ 2007년 9월 16일, 16부작, 드라마, SBS TV," 이주영, 김현숙 도레미 엔터테인먼트, 세고 엔터테인먼트"," 박혜련 (작가), 박지은 (작가)"," 엄정화, 오지호 (배우) 외",2007-07-28 00:00:00
막돼먹은영애씨5, 2009년 3월 6일 ~ 2009년 7월 17일, 20부작, 텔레비전 드라마, tvN,  CJ E&M 방송사업부문," 명수현, 임수미, 백선우"," 김현숙 (희극인), 정다혜 외",2009-03-06 00:00:00
아름다운시절, 2007년 11월 12일 ~ 2008년 6월 6일, 149부작, 드라마, KBS1, ," 이상민, 홍영희"," 전익령, 박그리나, 최규환, 최진혁",2007-11-12 00:00:00
다섯손가락, 2012년 8월 18일 ~  2012년 11월 25일, 30부작," 음악, 막장", SBS TV, 예인 E&M(이명숙), 김순옥 (작가)," 채시라, 주지훈, 지창욱, 진세연 외",2012-08-18 00:00:00
막돼먹은영애씨16, 2017년 12월 4일 ~ 2018년 1월 23일, 16부작, 텔레비전 드라마, tvN,  ," 한설희, 백지현, 홍보희, 오은지"," 김현숙 (1978년), 이승준 (1973년) 외",2017-12-04 00:00:00
의가형제, 1997년 1월 13일 ~ 1997년 3월 4일, 16부작," 멜로, 의학", MBC, , 김지수," 장동건, 이영애, 손창민 외",1997-01-13 00:00:00
참좋은시절, 2014년 2월 22일 ~ 2014년 8월 10일, 50부작," 로맨스, 가족 드라마", KBS 2TV," 삼화네트웍스 안재현, 신상윤", 이경희 (1969년) ," 이서진, 김희선, 옥택연 외",2014-02-22 00:00:00
왼손잡이아내, 2019년 1월 2일 ~ 2019년 5월 31일, 103부작, 드라마, KBS 2TV, 팬 엔터테인먼트 김희열, 문은아," 이수경 (1982년), 김진우 (배우), 진태현, 하연주 외",2019-01-02 00:00:00
사랑과진실, 1984년 5월 12일 ~ 1985년 4월 28일, 85부작, 드라마, 문화방송,, 김수현 (작가)," 정애리, 원미경, 이덕화, 임채무 외",1984-05-12 00:00:00
러브레터, 2003년 2월 10일 ~ 2003년 4월 1일, 16부작, 텔레비전 드라마, MBC TV, , 오수연 (작가)," 조현재 (배우), 지진희, 수애",2003-02-10 00:00:00
용서, 2000년 10월 16일 ~ 2001년 3월 10일, 120부작, 드라마, SBS, , 박현주 (작가)," 임지은, 양정아, 김병세, 정유석 외",2000-10-16 00:00:00
썸데이, 방송 일시, 16부작, 텔레비전 드라마, OCN (텔레비전 채널), 오민호 옐로우 필름, 김희재," 배두나, 김민준, 이진욱, 오윤아",unknown
이혼변호사는연애중, 2015년 4월 18일 ~ 2015년 6월 14일, 18부작, 휴먼 코미디, SBS TV," 안제현, 신상윤, 은성희 삼화네트웍스, 
제이에스탑엔터테인먼트"," 김아정, 박유미"," 조여정, 연우진, 심형탁, 왕지원 외",2015-04-18 00:00:00
어둔하늘어둔새, 1990년 6월 18일 ~ 1990년 8월 14일, 16부작, 텔레비전 드라마, 문화방송, , 조소혜," 김미숙, 박영규 (배우), 선우은숙, 김보연 외",1990-06-18 00:00:00
제1공화국, 1981년 4월 2일 ~ 1982년 2월 11일, 54부작, 정치드라마, MBC TV, , 김기팔," 최불암, 이영후, 박규채, 국정환 외",1981-04-02 00:00:00
이여자가사는법, 1994년 10월 8일 ~ 1995년 5월 13일, 64부작, 드라마, SBS,, 서영명," 이효춘, 한혜숙, 박정수 (배우), 박원숙",1994-10-08 00:00:00
키스먼저할까요, 2018년 2월 20일 ~ 2018년 4월 24일, 40부작, 멜로, SBS," 에스엠컬처앤콘텐츠 이훈희, 김동준", 배유미 (작가)," 감우성, 김선아 외",2018-02-20 00:00:00
인생화보, 1987년 11월 9일 ~ 1987년 12월 8일, 8부작, 미니시리즈, MBC, , 이유정," 김용건, 김영애, 현석 (배우), 양미경, 이용하 외",1987-11-09 00:00:00
천사의선택, 2012년 4월 2일 ~ 2012년 10월 12일, 140부작, 텔레비전 드라마, MBC TV, MBC C&I(이형선), 서현주 (작가)," 최정윤, 윤희석, 강세정, 정성운 외",2012-04-02 00:00:00
제5공화국, 2005년 4월 23일 ~ 2005년 9월 11일, 41부작, 시대극, MBC TV, MBC 프로덕션, 유정수," 이덕화, 김영란 (배우), 서인석 (배우), 송옥숙, 
이진우 (배우), 차광수, 홍학표, 김병기 (배우) 외",2005-04-23 00:00:00
발리에서생긴일, 2004년 1월 3일 ~ 2004년 3월 7일, 20부작," 텔레비전 드라마, 멜로", SBS TV, 이선미 이김제작단1," 김기호 (1~20회)
황성연 (1~6회)"," 하지원, 조인성 (배우), 소지섭, 박예진 외",2004-01-03 00:00:00
여름아부탁해, 2019년 4월 29일 ~ 2019년 10월 25일, 128부작, 드라마, KBS 1TV (본방송)KBS 2TV (재방송), KBS 드라마본부," 구지원, 장민우, 남선혜"," 이영은 (1982년), 윤선우, 이채영, 김사권 외",2019-04-29 00:00:00
외출, 2001년 10월 8일 ~ 2002년 3월 30일, 145부작, 드라마, SBS TV,, 주찬옥," 김미숙, 김병세",2001-10-08 00:00:00
줄리엣의남자, 2000년 9월 14일 ~ 2000년 11월 9일, 17부작, 드라마, SBS TV, , 박계옥," 차태현, 예지원, 지진희, 김민희 (1982년) 외",2000-09-14 00:00:00
일곱개의숟가락, 1996년 12월 9일 ~ 1996년 12월 24일, 6부작, 텔레비전 드라마, 문화방송, , 이정선 ," 홍경인, 이정현 (1980년), 김소연 (1980년), 이영후 외",1996-12-09 00:00:00
소설목민심서, 2000년 5월 1일 ~ 2000년 10월 12일, 60부작, 드라마, KBS 2TV,," 윤영수, 이향희 (작가)"," 이진우 (배우), 김성령, 김규철 외",2000-05-01 00:00:00
청춘극장, 1993년 10월 23일 ~ 1994년 1월 2일, 22부작, 드라마, KBS 2TV, ," 지상학, 이봉원", ,1993-10-23 00:00:00
1.5, 1996년 4월 29일 ~ 1996년 6월 18일, 16부작, 드라마, 문화방송," 삼화네트웍스, 이관희 프로덕션", 박정화," 심은하, 정우성, 손지창, 신현준 (배우)",1996-04-29 00:00:00
애자언니민자, 2008년 4월 21일 ~ 2008년 10월 31일, 116부작, 텔레비전 드라마, SBS," SBS 프로덕션,예영, 신영이앤씨 김현정, 심윤선", 윤정건," 차화연, 이응경, 이덕화 외",2008-04-21 00:00:00
오버더레인보우, 2006년 7월 26일 ~ 2006년 9월 14일, 16부작, 청춘 로맨스, MBC TV,," 홍자람, 홍진아"," 지현우, 서지혜 (1984년), 환희, 김옥빈 외",2006-07-26 00:00:00
라이벌, 2002년 8월 3일 ~ 2002년 10월 6일, 20부작, 드라마, SBS, JS픽쳐스, 진수완," 소유진, 김재원 (배우), 김민정 (1982년), 김주혁",2002-08-03 00:00:00
거리의악사, 1988년 4월 18일 ~ 1988년 5월 10일, 8부작, 텔레비전 드라마, 문화방송, , 박찬홍," 이경진, 이상숙, 박일, 이동신 외",1988-04-18 00:00:00
집념, 1975년 9월 22일 ~ 1976년 4월 9일, 143부작, , MBC, , 이은성," 김무생, 전양자 외",1975-09-22 00:00:00
여자의시간, 1991년 10월 26일 ~ 1992년 4월 26일, 54부작, 드라마, KBS 2TV, , 박정란, ,1991-10-26 00:00:00
맞짱, 2008년 10월 24일 ~ 2008년 12월 12일, 8부작, 액션, tvN, , 박세열," 유건 (대한민국), 이종수 (배우) 외",2008-10-24 00:00:00
번외수사, 2020년 5월 23일 ~, 12부작," 범죄, 액션", OCN (방송), 콘텐츠 지음 한석원," 이유진, 정윤선"," 차태현, 이선빈 외",2020-05-23 00:00:00
EXIT, 2018년 4월 30일 ~ 2018년 5월 1일, 4부작, 텔레비전 드라마, SBS,  SBS미디어홀딩스, 박연혁," 최태준, 우현 (배우), 남기애, 박호산, 배해선, 전수진, 김경남 (1989년) 외",2018-04-30 00:00:00
더바이러스, 2013년 3월 1일 ~ 2013년 5월 3일, 10부작, 드라마, OCN (방송)," 제이에스픽쳐스(이진석 (연출가), 이창호)", 이명숙," 엄기준, 이소정, 이기우, 안석환,조희봉, 유빈, 박민우 외",2013-03-01 00:00:00
해뜨고달뜨고, 1999년 10월 18일 ~ 2000년 4월 28일, , 드라마, 한국방송공사,, 김지우," 이창훈, 유호정, 류진 (배우), 염정아",1999-10-18 00:00:00
나쁜여자착한여자, 2007년 1월 1일 ~ 2007년 7월 13일, 140부작, 드라마, MBC, 문화방송, 이홍구 (1947년)," 최진실, 이재룡, 성현아, 전노민 외",2007-01-01 00:00:00
에어시티, 2007년 5월 19일 ~ 2007년 7월 8일, 16부작, 전문직 텔레비전 드라마, MBC TV," HB엔터테인먼트, 에이스토리 임화민, 문보미, 이상백"," 이선희, 이서윤, 황혜경, 이명희"," 이정재 (배우), 최지우, 이진욱, 문정희 (배우) 외",2007-05-19 00:00:00
은주의방, 2018년 11월 6일 ~ 2019년 1월 22일, 12부작, 드라마, OLIVE (방송 채널),"  스튜디오 드래곤, 스튜디오 605"," 박상문, 김현철"," 류혜영, 김재영 (배우), 박지현 (배우), 윤지온 외",2018-11-06 00:00:00
젊은이의양지, 1995년 5월 6일 ~ 1995년 11월 12일, 56부작, 드라마, 한국방송공사,, 조소혜," 하희라, 이종원 (배우), 허준호, 배용준 외",1995-05-06 00:00:00
"엄마,아빠좋아", 1979년 5월 26일 ~ 1979년 9월 23일, 34부작, 텔레비전 드라마, 문화방송, , 김수현," 김혜자, 오지명 외",1979-05-26 00:00:00
괴물, 1979년 5월 26일 ~ 1979년 9월 23일, 34부작, 텔레비전 드라마, 문화방송, , 김수현," 김혜자, 오지명 외",1979-05-26 00:00:00
개와늑대의시간, 2007년 7월 18일 ~ 2007년 9월 6일, 16부작," 텔레비전 드라마, 느와르, 액션", MBC TV," 사과나무픽처스, CJ엔터테인먼트, 윤신애, 김주성, 방상연"," 한지훈, 류용재 "," 이준기, 정경호 (1983년), 남상미 외",2007-07-18 00:00:00
사랑을위하여, 1992년 10월 17일 ~ 1993년 4월 25일, 56부작, 드라마, KBS2, , 이금림," 옥소리, 강석우, 송영창, 강문영 외",1992-10-17 00:00:00
왕의여자, 2003년 10월 6일 ~ 2004년 3월 2일, 42부작, 대하사극, SBS,, 윤정건," 박선영 (1976년 배우), 지성 (배우) 외",2003-10-06 00:00:00
미망, 1996년 10월 23일 ~ 1997년 5월 1일, 56부작, 드라마, 문화방송, , 임충," 채시라, 최불암, 김수미, 홍리나, 김상중 외",1996-10-23 00:00:00
엄마의선택, 2014년 10월 12일, 2부작, 텔레비전 드라마, SBS, , 정도윤 , 오현경 (1970년) 외,2014-10-12 00:00:00
저푸른초원위에, 2003년 1월 4일 ~ 2003년 6월 29일, 52부작, 드라마, KBS 2TV,, 김지우," 최수종, 채림, 윤태영 (배우), 채정안, 최철호, 김정난 외",2003-01-04 00:00:00
그해겨울은따뜻했네, 1988년 8월 3일 ~ 1988년 9월 22일, 16부작, 드라마, 한국방송공사,, 조소혜," 나영희, 김도연 (1966년), 나한일, 임성민 외",1988-08-03 00:00:00
우리가사랑하는죄인, 1990년 8월 22일 ~ 1990년 9월 27일, 12부작, 드라마, 한국방송공사,, 윤혁민," 백준기, 한진희, 김영애, 박혜란 외",1990-08-22 00:00:00
여태뭘했수, 1994년 9월 26일 ~ 1995년 3월 7일, 42부작, 텔레비전 드라마, 서울방송,, 윤정건," 이정길 (1944년), 박인환 (배우), 임현식 외",1994-09-26 00:00:00
엔젤아이즈, 2014년 4월 5일 ~ 2014년 6월 15일, 20부작, 로맨스, SBS, , ," 이상윤 (배우), 구혜선 외",2014-04-05 00:00:00
호텔리어, 2001년 4월 4일 ~ 2001년 6월 7일, 20부작," 드라마, 멜로, 로맨스 드라마 삽입곡", MBC, MBC C&I, 강은경 (작가)," 김승우, 배용준, 송윤아, 송혜교 외",2001-04-04 00:00:00
갈대, 1974년 10월 28일 ~ 1975년 5월 31일, 173부작, 멜로, MBC, , 남지연," 김혜자, 조경환 외",1974-10-28 00:00:00
감자별2013QR3, 2013년 9월 23일 ~ 2014년 5월 15일, 120부작, 시추에이션 코미디 드라마음악 드라마음악 드라마음악, tvN,  초록뱀미디어," 이영철, 이광재, 장진아", ,2013-09-23 00:00:00
있을때잘해!!, 2006년 7월 17일 ~ 2007년 3월 9일, 169부작, 드라마, 문화방송," 제이에스픽쳐스, 이진석, 배한천", 서영명 ," 하희라, 김윤석 (배우), 변우민, 지수원 외",2006-07-17 00:00:00
밥상을차리는여자, 1991년 4월 10일 ~ 1991년 5월 2일, 8부작, 드라마, 한국방송공사,, 홍영희," 김창숙 (배우), 한인수, 정재순, 신애라 외",1991-04-10 00:00:00
킬리만자로의표범, 1998년 6월 8일 ~ 1998년 6월 30일, 8부작, 드라마, 한국방송공사,, 홍순목," 정준호, 이순재, 권민중 외",1998-06-08 00:00:00
토지, 2004년 11월 27일 ~ 2005년 5월 22일, 52부작, 드라마, SBS TV," 이지나, 윤현묵"," 이홍구 (1947년), 김명호, 이혜선"," 김현주 (1977년), 유준상, 정찬 (배우) 외",2004-11-27 00:00:00
파천무, 1980년 4월 13일 ~ 1980년 7월 13일, , 사극, KBS 1TV,  , 이철향, ,1980-04-13 00:00:00
들꽃, 2005년 10월 10일 ~ 2006년 2월 24일, 118부작, 드라마, SBS,, 정지우," 이아현, 선우재덕, 김정학, 장태은",2005-10-10 00:00:00
소풍가는여자, 2004년 5월 3일 ~ 2004년 10월 8일, 94부작, 텔레비전 드라마, SBS (대한민국의 방송사),, 박진숙," 박지영 (1969년), 황인성 (배우), 김태연, 여현수 외",2004-05-03 00:00:00
귀여운여인, 2001년 1월 8일 ~ 2001년 2월 27일, 16부작, 드라마, KBS 제2TV,, 김선영 (작가)," 박선영 (1976년 배우), 안재모, 이창훈 (배우), 김채연 외",2001-01-08 00:00:00
뿌리깊은나무, 2011년 10월 5일 ~ 2011년 12월 22일, 24부작 + 스페셜 3부작, 미스터리 퓨전 사극, SBS TV," 정훈탁, 장진욱"," 김영현 (작가), 박상연"," 한석규, 장혁, 신세경, 조진웅 외",2011-10-05 00:00:00
내생애마지막스캔들, 2008년 3월 8일 ~ 2008년 4월 27일, 16부작," 텔레비전 드라마, 로맨스, 코미디", 문화방송," 로고스필름, 이장수", 문희정 ," 최진실, 정준호, 정웅인, 변정수 외",2008-03-08 00:00:00
해빙기의아침, 1992년 5월 11일 ~ 1992년 7월 7일, 18부작, 텔레비전 드라마, 서울방송, , 박찬홍 ," 강석우, 박순애, 유호정, 김성일 외",1992-05-11 00:00:00
독신천하, 2006년 9월 25일~ 2006년 11월 7일, 14부작, 텔레비전 드라마, SBS," iHQ
정훈탁, 장진욱"," 염일호, 이해정 (작가) "," 김유미 (1979년), 이현우 (1966년), 유선 (배우), 윤상현 (배우), 문정희, 강지섭 외",2006-09-25 00:00:00
사랑은이런거야, 2001년 10월 29일 ~ 2002년 6월 28일, 172부작," 드라마, 코미디", KBS 1TV, KBS 드라마 제작국, 이덕재," 이창훈 (배우), 윤해영 (배우) 외",2001-10-29 00:00:00
사랑의찬가, 1995년 7월 10일 ~ 1996년 2월 2일, 142부작, 텔레비전 드라마, SBS TV,, 허숙 → 박리미 ," 홍성민, 서승현, 정한용, 김혜리 (배우) 외",1995-07-10 00:00:00
선생님우리선생님, 1988년 1월 11일 ~ 1988년 2월 2일, 8부작, 텔레비전 드라마, 문화방송, , 송지나," 이영후, 임현식, 홍성민, 전운 외",1988-01-11 00:00:00
멈출수없어, 2009년 7월 13일 ~ 2010년 1월 8일, 129부작, 텔레비전 드라마, MBC TV, MBC C&I, 김홍주," 김규리 (1979년 6월), 이지훈 (1979년), 원기준, 박하선, 유건 (대한민국) 외",2009-07-13 00:00:00
파도야파도야, 2018년 2월 12일 ~ 2018년 8월 31일, 143부작, 텔레비전 드라마 · 소설      , KBS 2TV, KBS 드라마 제작국," 이현재, 이향원"," 조아영 (1991년), 박정욱 (모델), 제이 (1983년), 장재호 (배우), 강예원 (1994년), 노행하, 정헌 (배우), 정윤혜 외",2018-02-12 00:00:00
영웅시대, 2004년 7월 5일 ~ 2005년 3월 1일, 70부작, 시대극, 문화방송,, 이환경 (작가)," 최불암, 차인표, 전광렬, 정욱 (1938년), 유동근 외",2004-07-05 00:00:00
그대없인못살아, 2012년 5월 28일~ 2012년 11월 16일, 110부작, 텔레비전 드라마, MBC TV, , 김선영," 김해숙, 주현, 박은혜 (배우)
김호진, 박선영 (1976년 배우), 박유환 외",2012-05-28 00:00:00
파천무, 1990년 4월 2일 ~ 1990년 10월 30일, 50부작, 텔레비전 드라마, KBS 2TV, , 이환경," 유동근, 김혜선 (배우), 이순재 외",1990-04-02 00:00:00
형수님은열아홉, 1990년 4월 2일 ~ 1990년 10월 30일, 50부작, 텔레비전 드라마, KBS 2TV, , 이환경," 유동근, 김혜선 (배우), 이순재 외",1990-04-02 00:00:00
환상여행, 1999년 8월 23일 ~ 1999년 9월 14일, 8부작, 미스터리, KBS 2TV,  , , ,1999-08-23 00:00:00
왜그러지, 1977년 7월 16일 ~ 1977년 10월 30일, 32부작, 코믹터치·멜로물, MBC,, 유호," 김무생, 홍성민 (배우) 외",1977-07-16 00:00:00
서궁, 1995년 7월 3일 ~ 1995년 12월 26일, 52부작, 드라마, KBS 2TV, , 박찬성, 이영애김규철이보희김보성 (배우)양금석장서희임혁주태민영임병기김종결임혁김인문 (배우)박준금엄유신이한나한인수 (배우)김성원 (배우)김성옥신구 (배우)서인석 (배우),1995-07-03 00:00:00
뻐꾸기둥지, 2014년 6월 3일 ~ 2014년 11월 7일, 102부작, 드라마 · 연속극, KBS 제2TV," 이명숙, 손옥현 예인 E&M, 주식회사 뻐꾸기 둥지", 황순영," 장서희, 황동주, 이채영 (배우), 김경남 (1984년) 외",2014-06-03 00:00:00
